run_id,name,state,architecture,loss_fn,augmentation,pretrained,freeze_bb,lr,batch_size,best_bacc,best_acc,best_f1_macro,best_auc_macro,best_precision,best_recall,params,inference_ms
f4dlc9sp,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
jf7rlkrt,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
ra2438j5,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
2qvr9y6k,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
vc7xd0ew,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
3x45f955,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
3n8u1qyk,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,crashed,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
nxb829k2,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
fbmsn0ul,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
h01w7wu2,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
vfm3augo,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
dadfw6bu,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,
xi4nqbw6,astral-sweep-1,crashed,mobilenet_v3_small,weighted_ce,standard,false,true,0.00010183410905645716,16.0,,,,,,,,
xwforoiq,jolly-sweep-2,crashed,mobilenet_v3_small,weighted_ce,standard,true,true,0.0001207335026017213,35.0,,,,,,,,
6tiohofc,vital-sweep-3,crashed,mobilenet_v3_small,weighted_ce,standard,true,true,0.00014329130134729947,32.0,,,,,,,,
7f9ungy6,restful-sweep-1,crashed,,weighted_ce,,,True,,,,,,,,,,
1lxbkgak,super-sweep-2,crashed,,focal,,,True,,,,,,,,,,
w360b0b7,pretty-sweep-3,crashed,,ce,,,True,,,,,,,,,,
tl79lle6,olive-sweep-4,crashed,,weighted_ce,,,False,,,,,,,,,,
4kcyr6fn,serene-sweep-5,crashed,,focal,,,False,,,,,,,,,,
b1rkcf0q,golden-sweep-6,crashed,,ce,,,False,,,,,,,,,,
nwwk6ubp,clean-sweep-4,crashed,mobilenet_v3_small,weighted_ce,standard,true,false,0.00011473968118990766,18.0,,,,,,,,
w7jf12jg,dainty-sweep-5,crashed,mobilenet_v3_small,weighted_ce,standard,true,true,5.855432355486004e-05,53.0,,,,,,,,
yp6evt9o,breezy-sweep-1,crashed,,weighted_ce,,,True,,,,,,,,,,
ef8z3z4t,tough-sweep-6,crashed,mobilenet_v3_small,weighted_ce,standard,true,true,0.0001866213878014014,46.0,,,,,,,,
se3w9372,firm-sweep-2,crashed,,focal,,,True,,,,,,,,,,
4yp5j6nb,flowing-sweep-3,finished,,ce,,,True,,,,,,,,,,
5na69opy,twilight-sweep-1,crashed,,weighted_ce,,,True,,,,,,,,,,
0yo7sdqb,pleasant-sweep-2,crashed,,focal,,,True,,,,,,,,,,
2hz55f21,worthy-sweep-3,crashed,,ce,,,True,,,,,,,,,,
7fuvzz82,pleasant-sweep-4,crashed,,weighted_ce,,,False,,,,,,,,,,
j832gdv7,pleasant-sweep-5,crashed,,focal,,,False,,,,,,,,,,
3ig3snby,swept-sweep-6,crashed,,ce,,,False,,,,,,,,,,
6hk7erdc,super-sweep-1,crashed,,weighted_ce,,,True,,,,,,,,,,
y9hm8sgj,dark-sweep-2,crashed,,focal,,,True,,,,,,,,,,
8h9hk0sj,olive-sweep-3,crashed,,ce,,,True,,,,,,,,,,
umdu5q5p,crimson-sweep-4,crashed,,weighted_ce,,,False,,,,,,,,,,
3xxbw0so,cool-sweep-5,crashed,,focal,,,False,,,,,,,,,,
dkc8lbp5,tough-sweep-6,crashed,,ce,,,False,,,,,,,,,,
78e8xl7z,efficientnet_bo_weighted_ce_standard_pretrainedTrue,finished,efficientnet_bo,weighted_ce,standard,True,True,0.0001,32.0,,,,,,,,
sxfazb7x,efficientnet_bo_weighted_ce_standard_pretrainedTrue,finished,efficientnet_bo,weighted_ce,standard,True,True,0.0001,32.0,,,,,,,,
of5l8vrj,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
g0kyvqc6,efficientnet_bo_weighted_ce_standard_pretrainedTrue,crashed,efficientnet_bo,weighted_ce,standard,True,True,0.0001,32.0,,,,,,,,
d1cplmnp,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
wjco88mc,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
f9j60234,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
k6ewbovc,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
1bd8vtfo,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
vismvnqy,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,,,,,,,,
8pjz21sz,resnet50_freeze=full_aug=standard_drop=0.3_lr=0.0001_ep=30_mini=False,finished,resnet50,,standard,True,full,0.0001,32.0,,,,,,,,
hf4swlcm,resnet50_freeze=full_aug=standard_drop=0.3_lr=0.0001_ep=30_mini=False,finished,resnet50,weighted_ce,standard,True,full,0.0001,32.0,,,,,,,,
m60za3ol,resnet50_freeze=partial_aug=standard_drop=0.3_lr=0.0001_ep=40_mini=False,finished,resnet50,weighted_ce,standard,True,partial,0.0001,32.0,,,,,,,,
6fcuj8gg,resnet50_freeze=none_aug=standard_drop=0.3_lr=1e-05_ep=50_mini=False,finished,resnet50,weighted_ce,standard,True,none,0.0001,32.0,,,,,,,,
