run_id,name,state,architecture,loss_fn,augmentation,pretrained,freeze_bb,lr,batch_size,best_bacc,best_acc,best_f1_macro,best_auc_macro,best_precision,best_recall,best_mel_sens_at_95spec,params,inference_ms
gelc6ei0,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,7.82
kaaokfkh,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,7.77
jeawuxmj,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,7.68
ian0rllh,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,0.27744107744107743,,,,,,,1526056.0,5.43
mnvgbah6,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,partial,0.0001,8.0,0.2571428571428571,0.09803921568627452,0.0986425339366516,0.6420530898798376,0.11392773892773891,0.1607142857142857,,1526056.0,5.31
1rkrob7p,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,partial,0.0001,8.0,0.2571428571428571,0.09803921568627452,0.0986425339366516,0.6415985444252921,0.11392773892773891,0.1607142857142857,,1526056.0,5.36
0406k917,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,partial,0.0001,8.0,0.2571428571428571,0.09803921568627452,0.0986425339366516,0.6420530898798376,0.11392773892773891,0.1607142857142857,,1526056.0,5.48
5e1jf8hb,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,partial,0.0001,8.0,0.2571428571428571,0.09803921568627452,0.0986425339366516,0.6415985444252921,0.11392773892773891,0.1607142857142857,,1526056.0,5.74
22dpbyhl,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,partial,0.0001,8.0,0.2538961038961039,0.13725490196078433,0.11607142857142858,0.6114576361384871,0.20535714285714285,0.15868506493506493,,1526056.0,5.33
2to86632,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.12857142857142856,0.0392156862745098,0.0369047619047619,0.5248910658181174,0.02806122448979592,0.09183673469387754,,1526056.0,5.84
5hna633p,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.36
g1aa5n0d,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.48
onpmja93,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.3
e4c8jxzc,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.41
82g00hth,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.33
vh0asav9,mobilenet_v3_small_focal_standard_pretrainedTrue,finished,mobilenet_v3_small,focal,standard,True,True,0.0001,32.0,0.05,0.0196078431372549,0.041666666666666664,0.4141343697017456,0.0625,0.03125,,1526056.0,5.38
1sd9p8mz,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
go4hi8qm,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.5098039215686274,0.23433492889199745,,,,,,
tk2b6pzx,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,crashed,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
etx7kl5m,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
kaxu81n4,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.5294117647058824,0.2404874537227478,,,,,,
6h3n60ij,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
elaiyhjo,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.392156862745098,0.2,,,,,,
qgkxwfy9,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
14vlfjbf,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
97tvyb0v,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,crashed,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.6528517860667061,0.5192312921339285,,,,,,
lwpwgyjj,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
5mihv4dw,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.392156862745098,0.2,,,,,,
ws4aancm,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,,,,,,,,
abrr1pzf,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,,0.7448194197750148,0.6796527337693821,,,,,,
